GeneID	RNA_nucleotide_accession.version	Ensembl_rna_identifier	gene	transcript	mane_select
6183	NM_033362.4	ENST00000308018.9	MRPS12	NM_033362.4	True
6184	NM_002950.4	ENST00000296255.8	RPN1	NM_002950.4	True
6185	NM_002951.5	ENST00000237530.11	RPN2	NM_002951.5	True
6187	NM_002952.4	ENST00000343262.9	RPS2	NM_002952.4	True
6188	NM_001005.5	ENST00000531188.6	RPS3	NM_001005.5	True
6189	NM_001006.5	ENST00000274065.9	RPS3A	NM_001006.5	True
6193	NM_001009.4	ENST00000196551.8	RPS5	NM_001009.4	True
6194	NM_001010.3	ENST00000380394.9	RPS6	NM_001010.3	True
6195	NM_002953.4	ENST00000374168.7	RPS6KA1	NM_002953.4	True
6196	NM_021135.6	ENST00000265678.9	RPS6KA2	NM_021135.6	True
6198	NM_003161.4	ENST00000225577.9	RPS6KB1	NM_003161.4	True
6199	NM_003952.3	ENST00000312629.10	RPS6KB2	NM_003952.3	True
6201	NM_001011.4	ENST00000645674.2	RPS7	NM_001011.4	True
6202	NM_001012.2	ENST00000396651.8	RPS8	NM_001012.2	True
6203	NM_001013.4	ENST00000302907.9	RPS9	NM_001013.4	True
6204	NM_001014.5	ENST00000648437.1	RPS10	NM_001014.5	True
6205	NM_001015.5	ENST00000270625.7	RPS11	NM_001015.5	True
6206	NM_001016.4	ENST00000230050.4	RPS12	NM_001016.4	True
6207	NM_001017.3	ENST00000525634.6	RPS13	NM_001017.3	True
6208	NM_005617.4	ENST00000407193.7	RPS14	NM_005617.4	True
6209	NM_001018.5	ENST00000592588.7	RPS15	NM_001018.5	True
6210	NM_001019.5	ENST00000322989.8	RPS15A	NM_001019.5	True
6217	NM_001020.6	ENST00000251453.8	RPS16	NM_001020.6	True
6218	NM_001021.6	ENST00000647841.1	RPS17	NM_001021.6	True
6222	NM_022551.3	ENST00000439602.7	RPS18	NM_022551.3	True
6223	NM_001022.4	ENST00000598742.6	RPS19	NM_001022.4	True
6224	NM_001023.4	ENST00000009589.8	RPS20	NM_001023.4	True
6227	NM_001024.4	ENST00000343986.9	RPS21	NM_001024.4	True
6228	NM_001025.5	ENST00000296674.13	RPS23	NM_001025.5	True
6229	NM_033022.4	ENST00000372360.9	RPS24	NM_033022.4	True
6230	NM_001028.3	ENST00000527673.2	RPS25	NM_001028.3	True
6231	NM_001029.5	ENST00000646449.2	RPS26	NM_001029.5	True
6232	NM_001030.6	ENST00000651669.1	RPS27	NM_001030.6	True
6233	NM_002954.6	ENST00000272317.11	RPS27A	NM_002954.6	True
6234	NM_001031.5	ENST00000600659.3	RPS28	NM_001031.5	True
6235	NM_001032.5	ENST00000245458.11	RPS29	NM_001032.5	True
6236	NM_004165.3	ENST00000299759.11	RRAD	NM_004165.3	True
6237	NM_006270.5	ENST00000246792.4	RRAS	NM_006270.5	True
6238	NM_001365613.2	ENST00000377813.6	RRBP1	NM_001365613.2	True
6239	NM_001003699.4	ENST00000379938.7	RREB1	NM_001003699.4	True
6240	NM_001033.5	ENST00000300738.10	RRM1	NM_001033.5	True
6241	NM_001034.4	ENST00000304567.10	RRM2	NM_001034.4	True
6242	NM_001015055.2	ENST00000272430.10	RTKN	NM_001015055.2	True
6248	NM_006511.3	ENST00000345034.2	RSC1A1	NM_006511.3	True
6249	NM_001247997.2	ENST00000620786.5	CLIP1	NM_001247997.2	True
6251	NM_012425.4	ENST00000345264.10	RSU1	NM_012425.4	True
6252	NM_021136.3	ENST00000267484.10	RTN1	NM_021136.3	True
6253	NM_005619.5	ENST00000245923.9	RTN2	NM_005619.5	True
6256	NM_002957.6	ENST00000481739.2	RXRA	NM_002957.6	True
6257	NM_021976.5	ENST00000374680.4	RXRB	NM_021976.5	True
6258	NM_006917.5	ENST00000359842.10	RXRG	NM_006917.5	True
6259	NM_002958.4	ENST00000623711.4	RYK	NM_002958.4	True
6261	NM_000540.3	ENST00000359596.8	RYR1	NM_000540.3	True
6262	NM_001035.3	ENST00000366574.7	RYR2	NM_001035.3	True
6263	NM_001036.6	ENST00000634891.2	RYR3	NM_001036.6	True
6271	NM_006271.2	ENST00000292169.6	S100A1	NM_006271.2	True
6272	NM_002959.7	ENST00000256637.8	SORT1	NM_002959.7	True
6273	NM_005978.4	ENST00000368708.9	S100A2	NM_005978.4	True
6274	NM_002960.2	ENST00000368713.8	S100A3	NM_002960.2	True
6275	NM_002961.3	ENST00000368716.9	S100A4	NM_002961.3	True
6276	NM_001394232.1	ENST00000368717.3	S100A5	NM_001394232.1	True
6277	NM_014624.4	ENST00000368719.9	S100A6	NM_014624.4	True
6278	NM_002963.4	ENST00000368723.4	S100A7	NM_002963.4	True
6279	NM_002964.5	ENST00000368733.4	S100A8	NM_002964.5	True
6280	NM_002965.4	ENST00000368738.4	S100A9	NM_002965.4	True
6281	NM_002966.3	ENST00000368811.8	S100A10	NM_002966.3	True
6282	NM_005620.2	ENST00000271638.3	S100A11	NM_005620.2	True
6283	NM_005621.2	ENST00000368737.5	S100A12	NM_005621.2	True
6284	NM_001024211.2	ENST00000476133.6	S100A13	NM_001024211.2	True
6285	NM_006272.3	ENST00000291700.9	S100B	NM_006272.3	True
6286	NM_005980.3	ENST00000296370.4	S100P	NM_005980.3	True
6288	NM_199161.5	ENST00000356524.9	SAA1	NM_199161.5	True
6289	NM_030754.5	ENST00000256733.9	SAA2	NM_030754.5	True
6291	NM_006512.4	ENST00000278222.7	SAA4	NM_006512.4	True
6293	NM_022553.6	ENST00000445902.3	VPS52	NM_022553.6	True
6294	NM_001201338.2	ENST00000588852.2	SAFB	NM_001201338.2	True
6295	NM_000541.5	ENST00000409110.6	SAG	NM_000541.5	True
6296	NM_005622.4	ENST00000289416.10	ACSM3	NM_005622.4	True
6297	NM_001364564.1	ENST00000537235.2	SALL2	NM_001364564.1	True
6299	NM_002968.3	ENST00000251020.9	SALL1	NM_002968.3	True
6300	NM_002969.6	ENST00000215659.13	MAPK12	NM_002969.6	True
6301	NM_006513.4	ENST00000234677.7	SARS1	NM_006513.4	True
6302	NM_005981.5	ENST00000257910.8	TSPAN31	NM_005981.5	True
6304	NM_002971.6	ENST00000338745.11	SATB1	NM_002971.6	True
6305	NM_002972.4	ENST00000380817.8	SBF1	NM_002972.4	True
6307	NM_006745.5	ENST00000261507.11	MSMO1	NM_006745.5	True
6309	NM_006918.5	ENST00000264027.9	SC5D	NM_006918.5	True
6310	NM_001128164.2	ENST00000436367.6	ATXN1	NM_001128164.2	True
6311	NM_001372574.1	ENST00000673436.1	ATXN2	NM_001372574.1	True
6314	NM_001377405.1	ENST00000674280.1	ATXN7	NM_001377405.1	True
6317	NM_006919.3	ENST00000283752.10	SERPINB3	NM_006919.3	True
6318	NM_002974.4	ENST00000341074.10	SERPINB4	NM_002974.4	True
6319	NM_005063.5	ENST00000370355.3	SCD	NM_005063.5	True
6320	NM_002975.3	ENST00000250340.9	CLEC11A	NM_002975.3	True
6323	NM_001165963.4	ENST00000674923.1	SCN1A	NM_001165963.4	True
6324	NM_001037.5	ENST00000262631.11	SCN1B	NM_001037.5	True
6326	NM_001040142.2	ENST00000375437.7	SCN2A	NM_001040142.2	True
6327	NM_004588.5	ENST00000278947.6	SCN2B	NM_004588.5	True
6328	NM_006922.4	ENST00000283254.12	SCN3A	NM_006922.4	True
6329	NM_000334.4	ENST00000435607.3	SCN4A	NM_000334.4	True
6330	NM_174934.4	ENST00000324727.9	SCN4B	NM_174934.4	True
6331	NM_000335.5	ENST00000423572.7	SCN5A	NM_000335.5	True
6332	NM_002976.4	ENST00000643258.1	SCN7A	NM_002976.4	True
6334	NM_001330260.2	ENST00000627620.5	SCN8A	NM_001330260.2	True
6335	NM_001365536.1	ENST00000642356.2	SCN9A	NM_001365536.1	True
6336	NM_006514.4	ENST00000449082.3	SCN10A	NM_006514.4	True
6337	NM_001038.6	ENST00000228916.7	SCNN1A	NM_001038.6	True
6338	NM_000336.3	ENST00000343070.7	SCNN1B	NM_000336.3	True
6339	NM_001130413.4	ENST00000379116.10	SCNN1D	NM_001130413.4	True
6340	NM_001039.4	ENST00000300061.3	SCNN1G	NM_001039.4	True
6341	NM_004589.4	ENST00000255390.10	SCO1	NM_004589.4	True
6342	NM_002979.5	ENST00000371514.8	SCP2	NM_002979.5	True
6343	NM_021920.4	ENST00000176195.4	SCT	NM_021920.4	True
6344	NM_002980.3	ENST00000019103.8	SCTR	NM_002980.3	True
6345	NM_001098814.2	ENST00000399609.7	SRL	NM_001098814.2	True
6346	NM_002981.2	ENST00000225842.4	CCL1	NM_002981.2	True
6347	NM_002982.4	ENST00000225831.4	CCL2	NM_002982.4	True
6348	NM_002983.3	ENST00000613922.2	CCL3	NM_002983.3	True
6351	NM_002984.4	ENST00000615863.2	CCL4	NM_002984.4	True
6352	NM_001278736.2	ENST00000651122.1	CCL5	NM_001278736.2	True
6354	NM_006273.4	ENST00000378569.2	CCL7	NM_006273.4	True
6355	NM_005623.3	ENST00000394620.2	CCL8	NM_005623.3	True
6356	NM_002986.3	ENST00000305869.4	CCL11	NM_002986.3	True
6357	NM_005408.3	ENST00000225844.7	CCL13	NM_005408.3	True
6358	NM_032963.4	ENST00000618404.5	CCL14	NM_032963.4	True
6359	NM_032965.6	ENST00000617897.2	CCL15	NM_032965.6	True
6360	NM_004590.4	ENST00000611905.2	CCL16	NM_004590.4	True
6361	NM_002987.3	ENST00000219244.9	CCL17	NM_002987.3	True
6362	NM_002988.4	ENST00000616054.2	CCL18	NM_002988.4	True
6363	NM_006274.3	ENST00000311925.7	CCL19	NM_006274.3	True
6364	NM_004591.3	ENST00000358813.5	CCL20	NM_004591.3	True
6366	NM_002989.4	ENST00000259607.7	CCL21	NM_002989.4	True
6367	NM_002990.5	ENST00000219235.5	CCL22	NM_002990.5	True
6368	NM_005064.6	ENST00000615050.2	CCL23	NM_005064.6	True
6369	NM_002991.3	ENST00000222902.7	CCL24	NM_002991.3	True
6370	NM_005624.4	ENST00000315626.6	CCL25	NM_005624.4	True
6372	NM_002993.4	ENST00000226317.10	CXCL6	NM_002993.4	True
6373	NM_005409.5	ENST00000306621.8	CXCL11	NM_005409.5	True
6374	NM_002994.5	ENST00000296027.5	CXCL5	NM_002994.5	True
6375	NM_002995.3	ENST00000367818.4	XCL1	NM_002995.3	True
6376	NM_002996.6	ENST00000006053.7	CX3CL1	NM_002996.6	True
6382	NM_002997.5	ENST00000254351.9	SDC1	NM_002997.5	True
6383	NM_002998.4	ENST00000302190.9	SDC2	NM_002998.4	True
6385	NM_002999.4	ENST00000372733.3	SDC4	NM_002999.4	True
6386	NM_005625.4	ENST00000260130.9	SDCBP	NM_005625.4	True
6387	NM_199168.4	ENST00000343575.11	CXCL12	NM_199168.4	True
6388	NM_006923.4	ENST00000247020.9	SDF2	NM_006923.4	True
6389	NM_004168.4	ENST00000264932.11	SDHA	NM_004168.4	True
6390	NM_003000.3	ENST00000375499.8	SDHB	NM_003000.3	True
6391	NM_003001.5	ENST00000367975.7	SDHC	NM_003001.5	True
6392	NM_003002.4	ENST00000375549.8	SDHD	NM_003002.4	True
6396	NM_183352.3	ENST00000350697.8	SEC13	NM_183352.3	True
6397	NM_001143998.2	ENST00000436233.9	SEC14L1	NM_001143998.2	True
6398	NM_003004.3	ENST00000269389.8	SECTM1	NM_003004.3	True
6400	NM_005065.6	ENST00000336735.9	SEL1L	NM_005065.6	True
6401	NM_000450.2	ENST00000333360.12	SELE	NM_000450.2	True
6402	NM_000655.5	ENST00000236147.6	SELL	NM_000655.5	True
6403	NM_003005.4	ENST00000263686.11	SELP	NM_003005.4	True
6404	NM_003006.4	ENST00000550948.2	SELPLG	NM_003006.4	True
6405	NM_004186.5	ENST00000002829.8	SEMA3F	NM_004186.5	True
6406	NM_003007.5	ENST00000372781.4	SEMG1	NM_003007.5	True
6407	NM_003008.3	ENST00000372769.4	SEMG2	NM_003008.3	True
6414	NM_005410.4	ENST00000514985.6	SELENOP	NM_005410.4	True
6415	NM_003009.4	ENST00000601048.6	SELENOW	NM_003009.4	True
6416	NM_003010.4	ENST00000353533.10	MAP2K4	NM_003010.4	True
6418	NM_003011.4	ENST00000322030.13	SET	NM_003011.4	True
6419	NM_006515.4	ENST00000358065.5	SETMAR	NM_006515.4	True
6421	NM_005066.3	ENST00000357214.6	SFPQ	NM_005066.3	True
6422	NM_003012.5	ENST00000220772.8	SFRP1	NM_003012.5	True
6423	NM_003013.3	ENST00000274063.5	SFRP2	NM_003013.3	True
6424	NM_003014.4	ENST00000436072.7	SFRP4	NM_003014.4	True
6425	NM_003015.3	ENST00000266066.4	SFRP5	NM_003015.3	True
6426	NM_006924.5	ENST00000258962.5	SRSF1	NM_006924.5	True
6427	NM_001195427.2	ENST00000359995.10	SRSF2	NM_001195427.2	True
6428	NM_003017.5	ENST00000373715.11	SRSF3	NM_003017.5	True
6429	NM_005626.5	ENST00000373795.7	SRSF4	NM_005626.5	True
6430	NM_001320214.2	ENST00000557154.6	SRSF5	NM_001320214.2	True
6431	NM_006275.6	ENST00000244020.5	SRSF6	NM_006275.6	True
6432	NM_001031684.3	ENST00000313117.11	SRSF7	NM_001031684.3	True
6433	NM_004592.4	ENST00000261674.9	SFSWAP	NM_004592.4	True
6434	NM_004593.3	ENST00000453386.7	TRA2B	NM_004593.3	True
6439	NM_000542.5	ENST00000519937.7	SFTPB	NM_000542.5	True
6440	NM_001317778.2	ENST00000679463.1	SFTPC	NM_001317778.2	True
6441	NM_003019.5	ENST00000372292.8	SFTPD	NM_003019.5	True
6442	NM_000023.4	ENST00000262018.8	SGCA	NM_000023.4	True
6443	NM_000232.5	ENST00000381431.10	SGCB	NM_000232.5	True
6444	NM_000337.6	ENST00000337851.9	SGCD	NM_000337.6	True
6445	NM_000231.3	ENST00000218867.4	SGCG	NM_000231.3	True
6446	NM_001143676.3	ENST00000367858.10	SGK1	NM_001143676.3	True
6447	NM_001144757.3	ENST00000300175.9	SCG5	NM_001144757.3	True
6448	NM_000199.5	ENST00000326317.11	SGSH	NM_000199.5	True
6449	NM_003021.4	ENST00000221566.7	SGTA	NM_003021.4	True
6450	NM_007341.3	ENST00000333634.10	SH3BGR	NM_007341.3	True
6452	NM_001122681.2	ENST00000503393.8	SH3BP2	NM_001122681.2	True
6453	NM_003024.3	ENST00000381318.8	ITSN1	NM_003024.3	True
6455	NM_003025.4	ENST00000269886.7	SH3GL1	NM_003025.4	True
6456	NM_003026.5	ENST00000380607.5	SH3GL2	NM_003026.5	True
6457	NM_003027.5	ENST00000427482.7	SH3GL3	NM_003027.5	True
6461	NM_003028.3	ENST00000377707.4	SHB	NM_003028.3	True
6462	NM_001040.5	ENST00000380450.9	SHBG	NM_001040.5	True
6464	NM_001130040.2	ENST00000448116.7	SHC1	NM_001130040.2	True
6468	NM_022039.4	ENST00000331272.9	FBXW4	NM_022039.4	True
6469	NM_000193.4	ENST00000297261.7	SHH	NM_000193.4	True
6470	NM_004169.5	ENST00000316694.8	SHMT1	NM_004169.5	True
6472	NM_005412.6	ENST00000328923.8	SHMT2	NM_005412.6	True
6474	NM_001163678.2	ENST00000483851.7	SHOX2	NM_001163678.2	True
6476	NM_001041.4	ENST00000264382.8	SI	NM_001041.4	True
6477	NM_003031.4	ENST00000394725.3	SIAH1	NM_003031.4	True
6478	NM_005067.7	ENST00000312960.4	SIAH2	NM_005067.7	True
6480	NM_173216.2	ENST00000169298.8	ST6GAL1	NM_173216.2	True
6482	NM_173344.3	ENST00000522652.6	ST3GAL1	NM_173344.3	True
6483	NM_006927.4	ENST00000342907.3	ST3GAL2	NM_006927.4	True
6484	NM_001254757.2	ENST00000444328.7	ST3GAL4	NM_001254757.2	True
6487	NM_006279.5	ENST00000347631.8	ST3GAL3	NM_006279.5	True
6489	NM_003034.4	ENST00000396037.9	ST8SIA1	NM_003034.4	True
6490	NM_001384361.1	ENST00000548747.6	PMEL	NM_001384361.1	True
6491	NM_001048166.1	ENST00000371877.8	STIL	NM_001048166.1	True
6492	NM_005068.3	ENST00000369208.8	SIM1	NM_005068.3	True
6493	NM_005069.6	ENST00000290399.11	SIM2	NM_005069.6	True
6494	NM_006747.4	ENST00000534313.6	SIPA1	NM_006747.4	True
6495	NM_005982.4	ENST00000645694.3	SIX1	NM_005982.4	True
6496	NM_005413.4	ENST00000260653.5	SIX3	NM_005413.4	True
6497	NM_003036.4	ENST00000378536.5	SKI	NM_003036.4	True
6498	NM_005414.5	ENST00000259119.9	SKIL	NM_005414.5	True
6499	NM_006929.5	ENST00000375394.7	SKIV2L	NM_006929.5	True
6500	NM_170679.3	ENST00000353411.11	SKP1	NM_170679.3	True
6502	NM_005983.4	ENST00000274255.11	SKP2	NM_005983.4	True
6503	NM_001045556.3	ENST00000338087.10	SLA	NM_001045556.3	True
6504	NM_003037.5	ENST00000302035.11	SLAMF1	NM_003037.5	True
6505	NM_004170.6	ENST00000262352.8	SLC1A1	NM_004170.6	True
6506	NM_004171.4	ENST00000278379.9	SLC1A2	NM_004171.4	True
6507	NM_004172.5	ENST00000265113.9	SLC1A3	NM_004172.5	True
6508	NM_005070.4	ENST00000358055.8	SLC4A3	NM_005070.4	True
6509	NM_003038.5	ENST00000234256.4	SLC1A4	NM_003038.5	True
6510	NM_005628.3	ENST00000542575.6	SLC1A5	NM_005628.3	True
6511	NM_005071.3	ENST00000594383.2	SLC1A6	NM_005071.3	True
6512	NM_006671.6	ENST00000371494.9	SLC1A7	NM_006671.6	True
6513	NM_006516.4	ENST00000426263.10	SLC2A1	NM_006516.4	True
6514	NM_000340.2	ENST00000314251.8	SLC2A2	NM_000340.2	True
6515	NM_006931.3	ENST00000075120.12	SLC2A3	NM_006931.3	True
6517	NM_001042.3	ENST00000317370.13	SLC2A4	NM_001042.3	True
6518	NM_003039.3	ENST00000377424.9	SLC2A5	NM_003039.3	True
6519	NM_000341.4	ENST00000260649.11	SLC3A1	NM_000341.4	True
6520	NM_001013251.3	ENST00000338663.12	SLC3A2	NM_001013251.3	True
6521	NM_000342.4	ENST00000262418.12	SLC4A1	NM_000342.4	True
6522	NM_003040.4	ENST00000413384.7	SLC4A2	NM_003040.4	True
6523	NM_000343.4	ENST00000266088.9	SLC5A1	NM_000343.4	True
6524	NM_003041.4	ENST00000330498.4	SLC5A2	NM_003041.4	True
6525	NM_134269.3	ENST00000333137.12	SMTN	NM_134269.3	True
6526	NM_006933.7	ENST00000381151.5	SLC5A3	NM_006933.7	True
6527	NM_014227.3	ENST00000266086.6	SLC5A4	NM_014227.3	True
6528	NM_000453.3	ENST00000222248.4	SLC5A5	NM_000453.3	True
6529	NM_003042.4	ENST00000287766.10	SLC6A1	NM_003042.4	True
6530	NM_001172501.3	ENST00000568943.6	SLC6A2	NM_001172501.3	True
6531	NM_001044.5	ENST00000270349.12	SLC6A3	NM_001044.5	True
6532	NM_001045.6	ENST00000650711.1	SLC6A4	NM_001045.6	True
6533	NM_003043.6	ENST00000622186.5	SLC6A6	NM_003043.6	True
6534	NM_014228.5	ENST00000230671.7	SLC6A7	NM_014228.5	True
6536	NM_001024845.3	ENST00000372310.8	SLC6A9	NM_001024845.3	True
6538	NM_014229.3	ENST00000254488.7	SLC6A11	NM_014229.3	True
6539	NM_001122848.3	ENST00000684302.1	SLC6A12	NM_001122848.3	True
6540	NM_016615.5	ENST00000343164.9	SLC6A13	NM_016615.5	True
6541	NM_003045.5	ENST00000380752.10	SLC7A1	NM_003045.5	True
6542	NM_001370338.1	ENST00000494857.6	SLC7A2	NM_001370338.1	True
6543	NM_015063.3	ENST00000236877.11	SLC8A2	NM_015063.3	True
6545	NM_004173.3	ENST00000382932.3	SLC7A4	NM_004173.3	True
6547	NM_182932.3	ENST00000356921.7	SLC8A3	NM_182932.3	True
6548	NM_003047.5	ENST00000263980.8	SLC9A1	NM_003047.5	True
6549	NM_003048.6	ENST00000233969.3	SLC9A2	NM_003048.6	True
6550	NM_004174.4	ENST00000264938.8	SLC9A3	NM_004174.4	True
6553	NM_004594.3	ENST00000299798.16	SLC9A5	NM_004594.3	True
6554	NM_003049.4	ENST00000216540.5	SLC10A1	NM_003049.4	True
6555	NM_000452.3	ENST00000245312.5	SLC10A2	NM_000452.3	True
6556	NM_000578.4	ENST00000233202.11	SLC11A1	NM_000578.4	True
6557	NM_000338.3	ENST00000380993.8	SLC12A1	NM_000338.3	True
6558	NM_001046.3	ENST00000262461.7	SLC12A2	NM_001046.3	True
6559	NM_001126108.2	ENST00000563236.6	SLC12A3	NM_001126108.2	True
6560	NM_005072.5	ENST00000316341.8	SLC12A4	NM_005072.5	True
6561	NM_022444.4	ENST00000194130.7	SLC13A1	NM_022444.4	True
6563	NM_015865.7	ENST00000321925.9	SLC14A1	NM_015865.7	True
6564	NM_005073.4	ENST00000376503.10	SLC15A1	NM_005073.4	True
6565	NM_021082.4	ENST00000489711.6	SLC15A2	NM_021082.4	True
6566	NM_003051.4	ENST00000369626.8	SLC16A1	NM_003051.4	True
6568	NM_005074.5	ENST00000244527.10	SLC17A1	NM_005074.5	True
6569	NM_003052.5	ENST00000324417.6	SLC34A1	NM_003052.5	True
6570	NM_003053.4	ENST00000276373.10	SLC18A1	NM_003053.4	True
6571	NM_003054.6	ENST00000644641.2	SLC18A2	NM_003054.6	True
6572	NM_003055.3	ENST00000374115.5	SLC18A3	NM_003055.3	True
6573	NM_194255.4	ENST00000311124.9	SLC19A1	NM_194255.4	True
6574	NM_005415.5	ENST00000272542.8	SLC20A1	NM_005415.5	True
6575	NM_001257180.2	ENST00000520262.6	SLC20A2	NM_001257180.2	True
6576	NM_005984.5	ENST00000215882.10	SLC25A1	NM_005984.5	True
6578	NM_005630.3	ENST00000310926.11	SLCO2A1	NM_005630.3	True
6579	NM_001386879.1	ENST00000683939.1	SLCO1A2	NM_001386879.1	True
6580	NM_003057.3	ENST00000366963.9	SLC22A1	NM_003057.3	True
6581	NM_021977.4	ENST00000275300.3	SLC22A3	NM_021977.4	True
6582	NM_003058.4	ENST00000366953.8	SLC22A2	NM_003058.4	True
6583	NM_003059.3	ENST00000200652.4	SLC22A4	NM_003059.3	True
6584	NM_003060.4	ENST00000245407.8	SLC22A5	NM_003060.4	True
6585	NM_003061.3	ENST00000266058.9	SLIT1	NM_003061.3	True
6586	NM_003062.4	ENST00000519560.6	SLIT3	NM_003062.4	True
6588	NM_003063.3	ENST00000305991.3	SLN	NM_003063.3	True
6590	NM_003064.4	ENST00000338380.2	SLPI	NM_003064.4	True
6591	NM_003068.5	ENST00000020945.4	SNAI2	NM_003068.5	True
6595	NM_003070.5	ENST00000349721.8	SMARCA2	NM_003070.5	True
6596	NM_003071.4	ENST00000310053.10	HLTF	NM_003071.4	True
6597	NM_003072.5	ENST00000344626.10	SMARCA4	NM_003072.5	True
6598	NM_003073.5	ENST00000644036.2	SMARCB1	NM_003073.5	True
6599	NM_003074.4	ENST00000254480.10	SMARCC1	NM_003074.4	True
6601	NM_001330288.2	ENST00000550164.6	SMARCC2	NM_001330288.2	True
6602	NM_003076.5	ENST00000394963.9	SMARCD1	NM_003076.5	True
6603	NM_001098426.2	ENST00000448276.7	SMARCD2	NM_001098426.2	True
6604	NM_001003801.2	ENST00000262188.13	SMARCD3	NM_001003801.2	True
6605	NM_003079.5	ENST00000348513.12	SMARCE1	NM_003079.5	True
6606	NM_000344.4	ENST00000380707.9	SMN1	NM_000344.4	True
6608	NM_005631.5	ENST00000249373.8	SMO	NM_005631.5	True
6609	NM_000543.5	ENST00000342245.9	SMPD1	NM_000543.5	True
6610	NM_003080.3	ENST00000258052.8	SMPD2	NM_003080.3	True
6612	NM_006936.3	ENST00000332859.11	SUMO3	NM_006936.3	True
6613	NM_006937.4	ENST00000420826.7	SUMO2	NM_006937.4	True
6614	NM_023068.4	ENST00000344754.6	SIGLEC1	NM_023068.4	True
6615	NM_005985.4	ENST00000244050.3	SNAI1	NM_005985.4	True
6616	NM_130811.4	ENST00000254976.7	SNAP25	NM_130811.4	True
6617	NM_003082.4	ENST00000216294.5	SNAPC1	NM_003082.4	True
6618	NM_003083.4	ENST00000221573.11	SNAPC2	NM_003083.4	True
6619	NM_001039697.2	ENST00000380821.8	SNAPC3	NM_001039697.2	True
6620	NM_003085.5	ENST00000393693.7	SNCB	NM_003085.5	True
6621	NM_003086.4	ENST00000684778.1	SNAPC4	NM_003086.4	True
6622	NM_000345.4	ENST00000394991.8	SNCA	NM_000345.4	True
6623	NM_003087.3	ENST00000372017.4	SNCG	NM_003087.3	True
6624	NM_003088.4	ENST00000382361.8	FSCN1	NM_003088.4	True
6625	NM_003089.6	ENST00000598441.6	SNRNP70	NM_003089.6	True
6626	NM_004596.5	ENST00000243563.8	SNRPA	NM_004596.5	True
6627	NM_003090.4	ENST00000254193.11	SNRPA1	NM_003090.4	True
6628	NM_003091.4	ENST00000381342.7	SNRPB	NM_003091.4	True
6629	NM_003092.5	ENST00000246071.8	SNRPB2	NM_003092.5	True
6631	NM_003093.3	ENST00000244520.10	SNRPC	NM_003093.3	True
6632	NM_006938.4	ENST00000300413.10	SNRPD1	NM_006938.4	True
6633	NM_001384647.1	ENST00000342669.8	SNRPD2	NM_001384647.1	True
6634	NM_004175.5	ENST00000215829.8	SNRPD3	NM_004175.5	True
6635	NM_003094.4	ENST00000414487.7	SNRPE	NM_003094.4	True
6636	NM_003095.5	ENST00000266735.10	SNRPF	NM_003095.5	True
6637	NM_003096.4	ENST00000272348.7	SNRPG	NM_003096.4	True
6638	NM_003097.6	ENST00000390687.9	SNRPN	NM_003097.6	True
6640	NM_003098.3	ENST00000217381.3	SNTA1	NM_003098.3	True
6641	NM_021021.4	ENST00000517992.2	SNTB1	NM_021021.4	True
6642	NM_003099.5	ENST00000559844.6	SNX1	NM_003099.5	True
6643	NM_003100.4	ENST00000379516.7	SNX2	NM_003100.4	True
6645	NM_006750.4	ENST00000336278.9	SNTB2	NM_006750.4	True
6646	NM_003101.6	ENST00000367619.8	SOAT1	NM_003101.6	True
6647	NM_000454.5	ENST00000270142.11	SOD1	NM_000454.5	True
6648	NM_000636.4	ENST00000538183.7	SOD2	NM_000636.4	True
6649	NM_003102.4	ENST00000382120.4	SOD3	NM_003102.4	True
6650	NM_005632.3	ENST00000219611.7	CAPN15	NM_005632.3	True
6651	NM_138927.4	ENST00000356577.10	SON	NM_138927.4	True
6652	NM_003104.6	ENST00000267814.14	SORD	NM_003104.6	True
6653	NM_003105.6	ENST00000260197.12	SORL1	NM_003105.6	True
6654	NM_005633.4	ENST00000402219.8	SOS1	NM_005633.4	True
6655	NM_006939.4	ENST00000216373.10	SOS2	NM_006939.4	True
6656	NM_005986.3	ENST00000330949.3	SOX1	NM_005986.3	True
6657	NM_003106.4	ENST00000325404.3	SOX2	NM_003106.4	True
6659	NM_003107.3	ENST00000244745.4	SOX4	NM_003107.3	True
6660	NM_006940.6	ENST00000451604.7	SOX5	NM_006940.6	True
6662	NM_000346.4	ENST00000245479.3	SOX9	NM_000346.4	True
6663	NM_006941.4	ENST00000396884.8	SOX10	NM_006941.4	True
6664	NM_003108.4	ENST00000322002.5	SOX11	NM_003108.4	True
6665	NM_006942.2	ENST00000250055.3	SOX15	NM_006942.2	True
6666	NM_006943.4	ENST00000342665.5	SOX12	NM_006943.4	True
6667	NM_138473.3	ENST00000327443.9	SP1	NM_138473.3	True
6668	NM_003110.6	ENST00000376741.5	SP2	NM_003110.6	True
6670	NM_003111.5	ENST00000310015.12	SP3	NM_003111.5	True
6671	NM_003112.5	ENST00000222584.8	SP4	NM_003112.5	True
6672	NM_001080391.2	ENST00000340126.9	SP100	NM_001080391.2	True
6674	NM_003114.5	ENST00000388798.7	SPAG1	NM_003114.5	True
6676	NM_003116.3	ENST00000374273.8	SPAG4	NM_003116.3	True
6677	NM_153189.3	ENST00000682466.1	SPAM1	NM_153189.3	True
